"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","1995",16.364,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","1996",16.746,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","1997",17.038,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","1998",17.068,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","1999",18.007,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2000",18.823,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2001",19.467,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2002",19.618,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2003",20.263,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2004",20.658,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2005",19.395,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2006",19.566,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2007",20.259,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2008",21.647,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2009",19.267,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2010",22.16,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2011",20.22,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2012",20.249,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2013",20.324,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2014",20.526,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2015",20.433,
"LVA","TAXINCOME","TOT","PC_TOT_TAX","A","2016",20.972,
