"Year/ Month";"Commodity group (ECOICOP)";"2000=100";"2005=100";"2010=100";"2015=100"
"1996M01";"GOODS AND SERVICES - TOTAL";79.6;65.3;...;...
"1996M02";"GOODS AND SERVICES - TOTAL";81.0;66.5;...;...
"1996M03";"GOODS AND SERVICES - TOTAL";82.3;67.5;...;...
"1996M04";"GOODS AND SERVICES - TOTAL";82.7;67.8;...;...
"1996M05";"GOODS AND SERVICES - TOTAL";83.0;68.1;...;...
"1996M06";"GOODS AND SERVICES - TOTAL";84.4;69.2;...;...
"1996M07";"GOODS AND SERVICES - TOTAL";84.7;69.5;...;...
"1996M08";"GOODS AND SERVICES - TOTAL";84.3;69.1;...;...
"1996M09";"GOODS AND SERVICES - TOTAL";84.9;69.6;...;...
"1996M10";"GOODS AND SERVICES - TOTAL";85.9;70.4;...;...
"1996M11";"GOODS AND SERVICES - TOTAL";86.5;71.0;...;...
"1996M12";"GOODS AND SERVICES - TOTAL";87.0;71.4;...;...
"1997M01";"GOODS AND SERVICES - TOTAL";88.7;72.7;...;...
"1997M02";"GOODS AND SERVICES - TOTAL";89.0;73.0;...;...
"1997M03";"GOODS AND SERVICES - TOTAL";89.4;73.3;...;...
"1997M04";"GOODS AND SERVICES - TOTAL";90.0;73.8;...;...
"1997M05";"GOODS AND SERVICES - TOTAL";90.6;74.3;...;...
"1997M06";"GOODS AND SERVICES - TOTAL";90.8;74.5;...;...
"1997M07";"GOODS AND SERVICES - TOTAL";91.2;74.8;...;...
"1997M08";"GOODS AND SERVICES - TOTAL";91.6;75.1;...;...
"1997M09";"GOODS AND SERVICES - TOTAL";91.7;75.2;...;...
"1997M10";"GOODS AND SERVICES - TOTAL";92.4;75.8;...;...
"1997M11";"GOODS AND SERVICES - TOTAL";92.9;76.2;...;...
"1997M12";"GOODS AND SERVICES - TOTAL";93.1;76.4;...;...
"1998M01";"GOODS AND SERVICES - TOTAL";94.3;77.4;...;...
"1998M02";"GOODS AND SERVICES - TOTAL";94.5;77.5;...;...
"1998M03";"GOODS AND SERVICES - TOTAL";94.7;77.7;...;...
"1998M04";"GOODS AND SERVICES - TOTAL";95.4;78.3;...;...
"1998M05";"GOODS AND SERVICES - TOTAL";95.5;78.3;...;...
"1998M06";"GOODS AND SERVICES - TOTAL";96.1;78.9;...;...
"1998M07";"GOODS AND SERVICES - TOTAL";95.4;78.2;...;...
"1998M08";"GOODS AND SERVICES - TOTAL";94.9;77.9;...;...
"1998M09";"GOODS AND SERVICES - TOTAL";94.9;77.9;...;...
"1998M10";"GOODS AND SERVICES - TOTAL";95.1;78.0;...;...
"1998M11";"GOODS AND SERVICES - TOTAL";95.5;78.3;...;...
"1998M12";"GOODS AND SERVICES - TOTAL";95.7;78.5;...;...
"1999M01";"GOODS AND SERVICES - TOTAL";96.8;79.4;...;...
"1999M02";"GOODS AND SERVICES - TOTAL";97.0;79.6;...;...
"1999M03";"GOODS AND SERVICES - TOTAL";97.0;79.5;...;...
"1999M04";"GOODS AND SERVICES - TOTAL";96.8;79.4;...;...
"1999M05";"GOODS AND SERVICES - TOTAL";97.3;79.8;...;...
"1999M06";"GOODS AND SERVICES - TOTAL";98.0;80.3;...;...
"1999M07";"GOODS AND SERVICES - TOTAL";97.1;79.6;...;...
"1999M08";"GOODS AND SERVICES - TOTAL";96.9;79.5;...;...
"1999M09";"GOODS AND SERVICES - TOTAL";97.2;79.7;...;...
"1999M10";"GOODS AND SERVICES - TOTAL";97.8;80.3;...;...
"1999M11";"GOODS AND SERVICES - TOTAL";98.6;80.9;...;...
"1999M12";"GOODS AND SERVICES - TOTAL";98.8;81.0;...;...
"2000M01";"GOODS AND SERVICES - TOTAL";99.8;81.9;...;...
"2000M02";"GOODS AND SERVICES - TOTAL";100.3;82.3;...;...
"2000M03";"GOODS AND SERVICES - TOTAL";100.1;82.1;...;...
"2000M04";"GOODS AND SERVICES - TOTAL";100.4;82.4;...;...
"2000M05";"GOODS AND SERVICES - TOTAL";100.2;82.2;...;...
"2000M06";"GOODS AND SERVICES - TOTAL";100.3;82.3;...;...
"2000M07";"GOODS AND SERVICES - TOTAL";99.8;81.9;...;...
"2000M08";"GOODS AND SERVICES - TOTAL";99.3;81.4;...;...
"2000M09";"GOODS AND SERVICES - TOTAL";99.3;81.5;...;...
"2000M10";"GOODS AND SERVICES - TOTAL";99.8;81.8;...;...
"2000M11";"GOODS AND SERVICES - TOTAL";100.2;82.2;...;...
"2000M12";"GOODS AND SERVICES - TOTAL";100.5;82.4;...;...
"2001M01";"GOODS AND SERVICES - TOTAL";101.1;83.0;...;...
"2001M02";"GOODS AND SERVICES - TOTAL";101.0;82.8;...;...
"2001M03";"GOODS AND SERVICES - TOTAL";101.5;83.2;...;...
"2001M04";"GOODS AND SERVICES - TOTAL";101.8;83.5;...;...
"2001M05";"GOODS AND SERVICES - TOTAL";102.9;84.4;...;...
"2001M06";"GOODS AND SERVICES - TOTAL";103.4;84.9;...;...
"2001M07";"GOODS AND SERVICES - TOTAL";102.9;84.4;...;...
"2001M08";"GOODS AND SERVICES - TOTAL";102.3;83.9;...;...
"2001M09";"GOODS AND SERVICES - TOTAL";102.9;84.4;...;...
"2001M10";"GOODS AND SERVICES - TOTAL";103.1;84.5;...;...
"2001M11";"GOODS AND SERVICES - TOTAL";103.3;84.7;...;...
"2001M12";"GOODS AND SERVICES - TOTAL";103.7;85.1;...;...
"2002M01";"GOODS AND SERVICES - TOTAL";104.6;85.8;...;...
"2002M02";"GOODS AND SERVICES - TOTAL";104.3;85.5;...;...
"2002M03";"GOODS AND SERVICES - TOTAL";104.7;85.9;...;...
"2002M04";"GOODS AND SERVICES - TOTAL";104.8;85.9;...;...
"2002M05";"GOODS AND SERVICES - TOTAL";105.0;86.1;...;...
"2002M06";"GOODS AND SERVICES - TOTAL";104.4;85.6;...;...
"2002M07";"GOODS AND SERVICES - TOTAL";104.0;85.3;...;...
"2002M08";"GOODS AND SERVICES - TOTAL";103.2;84.6;...;...
"2002M09";"GOODS AND SERVICES - TOTAL";104.0;85.3;...;...
"2002M10";"GOODS AND SERVICES - TOTAL";104.8;85.9;...;...
"2002M11";"GOODS AND SERVICES - TOTAL";104.9;86.1;...;...
"2002M12";"GOODS AND SERVICES - TOTAL";105.1;86.2;...;...
"2003M01";"GOODS AND SERVICES - TOTAL";106.1;87.0;...;...
