"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","EDUADULT","TRY","PC_25_64","A","1996",16.983236,
"LVA","EDUADULT","TRY","PC_25_64","A","1997",15.955276,
"LVA","EDUADULT","TRY","PC_25_64","A","1998",17.193325,
"LVA","EDUADULT","TRY","PC_25_64","A","1999",17.785416,
"LVA","EDUADULT","TRY","PC_25_64","A","2000",18.218046,
"LVA","EDUADULT","TRY","PC_25_64","A","2001",17.809738,
"LVA","EDUADULT","TRY","PC_25_64","A","2002",18.869808,
"LVA","EDUADULT","TRY","PC_25_64","A","2003",17.920399,
"LVA","EDUADULT","TRY","PC_25_64","A","2004",19.785511,
"LVA","EDUADULT","TRY","PC_25_64","A","2005",20.293005,
"LVA","EDUADULT","TRY","PC_25_64","A","2006",20.919746,
"LVA","EDUADULT","TRY","PC_25_64","A","2007",22.18199,
"LVA","EDUADULT","TRY","PC_25_64","A","2008",24.822483,
"LVA","EDUADULT","TRY","PC_25_64","A","2009",25.846195,
"LVA","EDUADULT","TRY","PC_25_64","A","2010",26.946114,
"LVA","EDUADULT","TRY","PC_25_64","A","2011",27.69327,
"LVA","EDUADULT","TRY","PC_25_64","A","2012",29.227177,
"LVA","EDUADULT","TRY","PC_25_64","A","2013",31.011995,
"LVA","EDUADULT","TRY","PC_25_64","A","2014",30.230137,
"LVA","EDUADULT","TRY","PC_25_64","A","2015",31.591949,
"LVA","EDUADULT","TRY","PC_25_64","A","2016",33.361481,
