"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","QGDP","TOT","PC_CHGPP","Q","1995-Q2",-0.314838,
"LVA","QGDP","TOT","PC_CHGPP","Q","1995-Q3",-1.62835,
"LVA","QGDP","TOT","PC_CHGPP","Q","1995-Q4",-0.761119,
"LVA","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.213915,
"LVA","QGDP","TOT","PC_CHGPP","Q","1996-Q2",0.483954,
"LVA","QGDP","TOT","PC_CHGPP","Q","1996-Q3",3.139217,
"LVA","QGDP","TOT","PC_CHGPP","Q","1996-Q4",5.110606,
"LVA","QGDP","TOT","PC_CHGPP","Q","1997-Q1",-0.343973,
"LVA","QGDP","TOT","PC_CHGPP","Q","1997-Q2",3.830898,
"LVA","QGDP","TOT","PC_CHGPP","Q","1997-Q3",2.25437,
"LVA","QGDP","TOT","PC_CHGPP","Q","1997-Q4",0.900351,
"LVA","QGDP","TOT","PC_CHGPP","Q","1998-Q1",4.128454,
"LVA","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.05916,
"LVA","QGDP","TOT","PC_CHGPP","Q","1998-Q3",-0.25136,
"LVA","QGDP","TOT","PC_CHGPP","Q","1998-Q4",-1.323477,
"LVA","QGDP","TOT","PC_CHGPP","Q","1999-Q1",3.049205,
"LVA","QGDP","TOT","PC_CHGPP","Q","1999-Q2",-1.792087,
"LVA","QGDP","TOT","PC_CHGPP","Q","1999-Q3",2.462642,
"LVA","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.756768,
"LVA","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.23379,
"LVA","QGDP","TOT","PC_CHGPP","Q","2000-Q2",0.268458,
"LVA","QGDP","TOT","PC_CHGPP","Q","2000-Q3",3.135698,
"LVA","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.489572,
"LVA","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.271281,
"LVA","QGDP","TOT","PC_CHGPP","Q","2001-Q2",5.186838,
"LVA","QGDP","TOT","PC_CHGPP","Q","2001-Q3",-1.296652,
"LVA","QGDP","TOT","PC_CHGPP","Q","2001-Q4",3.082471,
"LVA","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.705934,
"LVA","QGDP","TOT","PC_CHGPP","Q","2002-Q2",2.522522,
"LVA","QGDP","TOT","PC_CHGPP","Q","2002-Q3",1.245433,
"LVA","QGDP","TOT","PC_CHGPP","Q","2002-Q4",3.70913,
"LVA","QGDP","TOT","PC_CHGPP","Q","2003-Q1",1.510071,
"LVA","QGDP","TOT","PC_CHGPP","Q","2003-Q2",1.857898,
"LVA","QGDP","TOT","PC_CHGPP","Q","2003-Q3",2.336957,
"LVA","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.115505,
"LVA","QGDP","TOT","PC_CHGPP","Q","2004-Q1",1.771607,
"LVA","QGDP","TOT","PC_CHGPP","Q","2004-Q2",2.670978,
"LVA","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.870942,
"LVA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",2.809739,
"LVA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",2.652228,
"LVA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.887778,
"LVA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",4.952105,
"LVA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",3.382929,
"LVA","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.309793,
"LVA","QGDP","TOT","PC_CHGPP","Q","2006-Q2",4.286447,
