"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","UNEMP","TOT","PC_LF","Q","2003-Q2",7.078225,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2004-Q2",6.834052,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2005-Q1",6.650884,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2005-Q2",6.602009,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2005-Q3",6.486335,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2005-Q4",6.441281,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2006-Q1",6.2634,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2006-Q2",6.083265,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2006-Q3",5.995581,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2006-Q4",5.8151,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2007-Q1",5.702928,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2007-Q2",5.542985,
"OECD","UNEMP","TOT","PC_LF","Q","2007-Q3",5.551806,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2007-Q4",5.53684,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2008-Q1",5.544788,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2008-Q2",5.688535,
"OECD","UNEMP","TOT","PC_LF","Q","2008-Q3",5.955243,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2008-Q4",6.491541,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2009-Q1",7.466702,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2009-Q2",8.12327,"B"
"OECD","UNEMP","TOT","PC_LF","Q","2009-Q3",8.353199,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2009-Q4",8.376712,"E"
"OECD","UNEMP","TOT","PC_LF","Q","2010-Q1",8.437699,
"OECD","UNEMP","TOT","PC_LF","Q","2010-Q2",8.311408,
"OECD","UNEMP","TOT","PC_LF","Q","2010-Q3",8.187961,
"OECD","UNEMP","TOT","PC_LF","Q","2010-Q4",8.163915,
"OECD","UNEMP","TOT","PC_LF","Q","2011-Q1",7.93105,
"OECD","UNEMP","TOT","PC_LF","Q","2011-Q2",7.922947,
"OECD","UNEMP","TOT","PC_LF","Q","2011-Q3",7.920135,
"OECD","UNEMP","TOT","PC_LF","Q","2011-Q4",7.900117,"B"
"OECD","UNEMP","TOT","PC_LF","Q","2012-Q1",7.89834,
"OECD","UNEMP","TOT","PC_LF","Q","2012-Q2",7.918648,
"OECD","UNEMP","TOT","PC_LF","Q","2012-Q3",7.906562,
"OECD","UNEMP","TOT","PC_LF","Q","2012-Q4",7.965806,
"OECD","UNEMP","TOT","PC_LF","Q","2013-Q1",8.020131,
"OECD","UNEMP","TOT","PC_LF","Q","2013-Q2",7.954334,
"OECD","UNEMP","TOT","PC_LF","Q","2013-Q3",7.833002,
"OECD","UNEMP","TOT","PC_LF","Q","2013-Q4",7.661304,
"OECD","UNEMP","TOT","PC_LF","Q","2014-Q1",7.564689,
"OECD","UNEMP","TOT","PC_LF","Q","2014-Q2",7.371375,
