"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","STINT","TOT","PC_PA","Q","1995-Q1",3.791667,
"CHE","STINT","TOT","PC_PA","Q","1995-Q2",3.296877,
"CHE","STINT","TOT","PC_PA","Q","1995-Q3",2.69792,
"CHE","STINT","TOT","PC_PA","Q","1995-Q4",2.00521,
"CHE","STINT","TOT","PC_PA","Q","1996-Q1",1.72917,
"CHE","STINT","TOT","PC_PA","Q","1996-Q2",2.354167,
"CHE","STINT","TOT","PC_PA","Q","1996-Q3",2.078127,
"CHE","STINT","TOT","PC_PA","Q","1996-Q4",1.916667,
"CHE","STINT","TOT","PC_PA","Q","1997-Q1",1.78646,
"CHE","STINT","TOT","PC_PA","Q","1997-Q2",1.458333,
"CHE","STINT","TOT","PC_PA","Q","1997-Q3",1.510417,
"CHE","STINT","TOT","PC_PA","Q","1997-Q4",1.796877,
"CHE","STINT","TOT","PC_PA","Q","1998-Q1",1.22396,
"CHE","STINT","TOT","PC_PA","Q","1998-Q2",1.791667,
"CHE","STINT","TOT","PC_PA","Q","1998-Q3",1.709637,
"CHE","STINT","TOT","PC_PA","Q","1998-Q4",1.47151,
"CHE","STINT","TOT","PC_PA","Q","1999-Q1",1.260557,
"CHE","STINT","TOT","PC_PA","Q","1999-Q2",1.079443,
"CHE","STINT","TOT","PC_PA","Q","1999-Q3",1.378333,
"CHE","STINT","TOT","PC_PA","Q","1999-Q4",1.91778,
"CHE","STINT","TOT","PC_PA","Q","2000-Q1",2.476113,
"CHE","STINT","TOT","PC_PA","Q","2000-Q2",3.266667,
"CHE","STINT","TOT","PC_PA","Q","2000-Q3",3.50389,
"CHE","STINT","TOT","PC_PA","Q","2000-Q4",3.446667,
"CHE","STINT","TOT","PC_PA","Q","2001-Q1",3.39111,
"CHE","STINT","TOT","PC_PA","Q","2001-Q2",3.205557,
"CHE","STINT","TOT","PC_PA","Q","2001-Q3",2.876667,
"CHE","STINT","TOT","PC_PA","Q","2001-Q4",1.97722,
