"","X","YEAR","QUARTER","EDUCATION","TAX","UNEMPLOYMENT","CPI2000","CPI2005","GDPGROWTH","STAGE1","STAGE2","EU","EUROZONE","SCHENGEN"
"1",1,1996,"Q1",16.983236,16.746,20.9300003051758,80.9666666666667,66.4333333333333,0.213915,"0","0","0","0","0"
"2",2,1996,"Q2",16.983236,16.746,20.9300003051758,83.3666666666667,68.3666666666667,0.483954,"0","0","0","0","0"
"3",3,1996,"Q3",16.983236,16.746,20.9300003051758,84.6333333333333,69.4,3.139217,"0","0","0","0","0"
"4",4,1996,"Q4",16.983236,16.746,20.9300003051758,86.4666666666667,70.9333333333333,5.110606,"0","0","0","0","0"
"5",5,1997,"Q1",15.955276,17.038,14.8999996185303,89.0333333333333,73,-0.343973,"0","0","0","0","0"
"6",6,1997,"Q2",15.955276,17.038,14.8999996185303,90.4666666666667,74.2,3.830898,"0","0","0","0","0"
"7",7,1997,"Q3",15.955276,17.038,14.8999996185303,91.5,75.0333333333333,2.25437,"0","0","0","0","0"
"8",8,1997,"Q4",15.955276,17.038,14.8999996185303,92.8,76.1333333333333,0.900351,"0","0","0","0","0"
"9",9,1998,"Q1",17.193325,17.068,14.460000038147,94.5,77.5333333333333,4.128454,"0","0","0","0","0"
"10",10,1998,"Q2",17.193325,17.068,14.460000038147,95.6666666666667,78.5,0.05916,"1","0","0","0","0"
"11",11,1998,"Q3",17.193325,17.068,14.460000038147,95.0666666666667,78,-0.25136,"1","0","0","0","0"
"12",12,1998,"Q4",17.193325,17.068,14.460000038147,95.4333333333333,78.2666666666667,-1.323477,"1","0","0","0","0"
"13",13,1999,"Q1",17.785416,18.007,13.789999961853,96.9333333333333,79.5,3.049205,"1","0","0","0","0"
"14",14,1999,"Q2",17.785416,18.007,13.789999961853,97.3666666666667,79.8333333333333,-1.792087,"0","1","0","0","0"
"15",15,1999,"Q3",17.785416,18.007,13.789999961853,97.0666666666667,79.6,2.462642,"0","1","0","0","0"
"16",16,1999,"Q4",17.785416,18.007,13.789999961853,98.4,80.7333333333333,1.756768,"0","1","0","0","0"
"17",17,2000,"Q1",18.218046,18.823,14.210000038147,100.066666666667,82.1,1.23379,"0","1","0","0","0"
"18",18,2000,"Q2",18.218046,18.823,14.210000038147,100.3,82.3,0.268458,"0","1","0","0","0"
"19",19,2000,"Q3",18.218046,18.823,14.210000038147,99.4666666666667,81.6,3.135698,"0","1","0","0","0"
"20",20,2000,"Q4",18.218046,18.823,14.210000038147,100.166666666667,82.1333333333333,-0.489572,"0","1","0","0","0"
"21",21,2001,"Q1",17.809738,19.467,13.8199996948242,101.2,83,1.271281,"0","1","0","0","0"
"22",22,2001,"Q2",17.809738,19.467,13.8199996948242,102.7,84.2666666666667,5.186838,"0","1","0","0","0"
"23",23,2001,"Q3",17.809738,19.467,13.8199996948242,102.7,84.2333333333333,-1.296652,"0","1","0","0","0"
"24",24,2001,"Q4",17.809738,19.467,13.8199996948242,103.366666666667,84.7666666666667,3.082471,"0","1","0","0","0"
"25",25,2002,"Q1",18.869808,19.618,13.8299999237061,104.533333333333,85.7333333333333,0.705934,"0","1","0","0","0"
"26",26,2002,"Q2",18.869808,19.618,13.8299999237061,104.733333333333,85.8666666666667,2.522522,"0","1","0","0","0"
"27",27,2002,"Q3",18.869808,19.618,13.8299999237061,103.733333333333,85.0666666666667,1.245433,"0","1","0","0","0"
"28",28,2002,"Q4",18.869808,19.618,13.8299999237061,104.933333333333,86.0666666666667,3.70913,"0","1","0","0","0"
"29",29,2003,"Q1",17.920399,20.263,12.0600004196167,106.5,87.3666666666667,1.510071,"0","1","0","0","0"
"30",30,2003,"Q2",17.920399,20.263,12.0600004196167,107.766666666667,88.3666666666667,1.857898,"0","1","0","0","0"
"31",31,2003,"Q3",17.920399,20.263,12.0600004196167,107.266666666667,88.0333333333333,2.336957,"0","1","0","0","0"
"32",32,2003,"Q4",17.920399,20.263,12.0600004196167,108.6,89.1,1.115505,"0","1","0","0","0"
"33",33,2004,"Q1",19.785511,20.658,11.710000038147,111.1,91.1666666666667,1.771607,"0","1","0","0","0"
